,Plant_ID,Plant_Name,LAT,LON,Plant_Fueltype,CO2EQ_2023,Plant_Nameplate_Capacity,Cap_Factor
6624,6065,Iatan,39.4472,-94.98,COAL,5153335.37,1753.9,0.31644
6630,6195,John Twitty Energy Center,37.151706,-93.38804,COAL,2114646.23,603.0,0.36798
6636,2103,Labadie,38.562244,-90.837686,COAL,16968046.54,2389.4,0.75402
6658,2167,New Madrid Power Plant,36.5147,-89.5617,COAL,4785414.65,1300.0,0.41366
6677,6155,Rush Island,38.131248,-90.263157,COAL,868808.29,1242.0,0.0707
6682,6768,Sikeston,36.8791,-89.6209,COAL,1615317.42,261.0,0.59455
6683,2107,Sioux,38.915479,-90.290247,COAL,3558512.03,1099.4,0.31675
6698,2168,Thomas Hill Energy Center,39.5522,-92.6381,COAL,6580216.01,1181.7,0.57359
6747,55076,Red Hills Generation Facility,33.3761,-89.2183,COAL,3476017.92,513.7,0.56573
6771,6076,Colstrip,45.8831,-106.614,COAL,12086526.43,1647.4,0.74979
6772,10784,Colstrip Energy LP,45.9752,-106.6547,COAL,450746.74,46.1,0.75815
6785,55749,Hardin Generating Station,45.7578,-107.6,COAL,726825.1,115.7,0.42959
6825,62319,Western Sugar Cooperative - Billings,45.765346,-108.499232,COAL,3633.19,1.5,0.43836
7118,2718,G G Allen,35.1897,-81.0122,COAL,155445.99,435.2,0.02118
7295,2727,Marshall,35.5975,-80.9658,COAL,5678112.53,2119.0,0.37169
7303,6250,Mayo,36.5278,-78.8917,COAL,1507695.57,763.2,0.18203
7482,2712,Roxboro,36.4833,-79.0731,COAL,4540778.61,2558.2,0.18031
7723,54213,American Crystal Sugar Drayton,48.593158,-97.17608,COAL,26211.98,6.0,0.81366
7724,54210,American Crystal Sugar Hillsboro,47.437562,-97.06311,COAL,56641.57,13.3,0.7883
7725,6469,Antelope Valley,47.370542,-101.83566,COAL,5940377.66,954.0,0.59047
7740,6030,Coal Creek,47.377743,-101.157058,COAL,7301416.93,1215.6,0.673
7742,8222,Coyote,47.221447,-101.815722,COAL,3234081.52,450.0,0.65409
7762,2817,Leland Olds,47.280769,-101.321213,COAL,4172102.43,656.0,0.56662
7767,2823,Milton R Young,47.065854,-101.213093,COAL,5505574.16,734.0,0.70047
7785,57046,Archer Daniels Midland Columbus,41.416442,-97.286328,COAL,246330.66,71.4,0.46204
7786,10862,Archer Daniels Midland Lincoln,40.866463,-96.614486,COAL,5630.96,7.9,0.13022
7826,6077,Gerald Gentleman Station,41.0808,-101.1408,COAL,7946068.27,1362.6,0.64316
7827,60,Gerald Whelan Energy Center,40.580872,-98.312437,COAL,1209956.46,324.3,0.38562
7847,2240,Lon D Wright Power Plant,41.4281,-96.4623,COAL,499415.6,172.3,0.34557
7858,6096,Nebraska City Station,40.6214,-95.7764,COAL,6529190.42,1389.6,0.48945
7860,2291,North Omaha Station,41.32909,-95.94466,COAL,1750734.83,644.7,0.27791
7868,59,Platte,40.854765,-98.348222,COAL,490344.85,109.8,0.37621
7883,2277,Sheldon,40.5589,-96.7847,COAL,909216.15,228.7,0.35984
7939,2364,Merrimack,43.1411,-71.4692,COAL,187469.56,496.4,0.03719
8420,2442,Four Corners Steam Elec Station,36.69,-108.4814,COAL,7912301.68,1636.2,0.51872
8572,8224,North Valmy,40.881317,-117.151605,COAL,1361146.73,567.0,0.19766
8599,56224,TS Power Plant,40.7461,-116.5297,COAL,1199786.18,242.0,0.51217
9541,2828,Cardinal,40.2522,-80.6486,COAL,10197585.62,1880.4,0.58764
9549,54207,Clevelandcliffs Warren,41.2119,-80.8176,COAL,13444.27,13.0,0.41735
9572,2914,Dover,40.520066,-81.46815,COAL,,49.6,
9584,8102,Gen J M Gavin,38.9347,-82.1158,COAL,14807112.82,2600.0,0.59406
9597,56848,Haverhill North Cogeneration Facility,38.596657,-82.828642,COAL,98670.24,67.0,0.60218
