Plant_ID,Plant_Name,State,Coal TCO (mil$),Solar TCO (mil$),PV Gain (mil$),CO2 Avoided (tons/year),Solar MW Required,LAT,LON
6166,Rockport,IN,6056.623991674935,1486.6956378429745,4569.92835383196,3413529.601,1138.6960000000001,37.9256,-87.0372
1040,Whitewater Valley,IN,103.68991548539677,9.694971237902337,93.99494424749443,27409.618,7.425612,39.8028,-84.8953
108,Holcomb,KS,2510.4351123774686,944.7155503856094,1565.7195619918593,1787151.046,723.580396,37.9308,-100.9725
6068,Jeffrey Energy Center,KS,10085.027009787149,3488.1535169668377,6596.873492820311,6760345.849,2671.6608,39.286453,-96.117231
1241,La Cygne,KS,10533.2554570289,3940.3639769763217,6592.891480052578,7395396.147,3018.019684,38.3481,-94.6456
1250,Lawrence Energy Center,KS,2903.339495654116,1032.5364781854387,1870.8030174686774,2016639.563,790.84456,39.0072,-95.269167
6064,Nearman Creek,KS,1476.8383537662567,459.20216595852065,1017.636187807736,991630.791,351.714,39.1681,-94.6975
6823,D B Wilson,KY,4730.883906395686,1728.407216039442,3002.476690356244,3549228.989,1323.82872,37.4497,-87.0806
1355,E W Brown,KY,2566.870799743216,574.8004418579535,1992.0703578852626,1171169.475,440.25350399999996,37.78831,-84.71257
6018,East Bend,KY,3942.092289614542,1320.6741716774561,2621.418117937086,2746854.899,1011.5361599999999,38.9036,-84.8514
1356,Ghent,KY,15239.588364236824,5825.69371045706,9413.894653779764,10668009.809,4462.03914,38.7497,-85.035
6041,H L Spurlock,KY,10899.45790362236,4469.553099691605,6429.904803930755,7343815.451,3423.33838,38.7,-83.8181
1384,John S. Cooper,KY,939.1137344975139,284.6590197656949,654.454714731819,534910.556,218.02720000000002,36.9981,-84.5919
1364,Mill Creek,KY,11519.846637197565,4495.474316063591,7024.372321133974,7950466.389,3443.192064,38.0525,-85.9103
1379,Shawnee,KY,8828.939103410381,2815.7046302984827,6013.234473111898,6419840.312,2156.616,37.1517,-88.775
6071,Trimble County,KY,11916.289425737934,4395.911195864753,7520.378229873181,7704296.912,3366.934272,38.5847,-85.4117
6055,Big Cajun 2,LA,4508.816989846165,1385.8261375261072,3122.9908523200575,2321472.534,1061.43762,30.7261,-91.3692
6190,Brame Energy Center,LA,6934.406614860476,2447.6103079590703,4486.796306901406,4401494.106,1874.6836919999998,31.395,-92.716667
10678,AES Warrior Run,MD,962.3892446725848,392.31647738010537,570.0727672924795,571061.934,300.48464,39.595171,-78.745333
602,Brandon Shores,MD,2694.157167610221,617.1877965896894,2076.969371020532,1362713.717,472.719,39.182073,-76.537151
6034,Belle River,MI,9473.236054937383,3580.8573464280666,5892.378708509315,6411196.197,2742.664896,42.7756,-82.495
1702,Dan E Karn,MI,2466.884588571985,365.51375850558424,2101.370830066401,794325.928,279.955792,43.644996,-83.840074
1710,J H Campbell,MI,10483.266102107398,3943.5502927475745,6539.715809359824,7368602.965,3020.46016,42.910296,-86.20074
57949,MSC Sebewaing,MI,2.1086024669660626,0.1031433810161755,2.005459085949887,101.993,0.07900000000000001,43.741111,-83.447222
1733,Monroe,MI,18450.722997773726,6841.039936745969,11609.683061027758,12559107.624,5239.717272,41.8906,-83.3464
54867,Neenah Paper Munising Mill,MI,4.819498190874532,0.0,4.819498190874532,0.0,0.0,46.4094,-86.6443
50835,TES Filer City Station,MI,200.93604636078945,189.4281722471197,11.507874113669743,2818.448,145.0876,44.217299,-86.28905
1915,Allen S King,MN,1820.441578685796,553.4889199152436,1266.9526587705523,1097918.874,423.93049599999995,45.03,-92.7786
54212,American Crystal Sugar Crookston,MN,50.713074457580085,27.91678750583805,22.796286951742033,28700.882,21.38214,47.76468,-96.633375
54214,American Crystal Sugar East Grand Forks,MN,33.62039929627911,16.99084832316713,16.629550973111982,17468.451,13.0137,47.927202,-97.007153
54211,American Crystal Sugar Moorhead,MN,42.721518382164234,23.743606309923592,18.977912072240642,24410.558,18.1858,46.9026,-96.76112
10863,Archer Daniels Midland Mankato,MN,13.642941228435449,5.372673436511683,8.270267791923766,5657.199,4.11506,44.187066,-93.99242
1893,Boswell Energy Center,MN,7877.59278760261,3005.9648432272993,4871.62794437531,5726991.063,2302.3408799999997,47.2611,-93.6528
10849,Northshore Mining Silver Bay Power,MN,,,,,,47.286573,-91.260531
6090,Sherburne County,MN,11390.769996251362,3999.3728953924915,7391.3971008588705,7555262.856,3063.2160360000003,45.3808,-93.8931
54533,Southern Minnesota Beet Sugar,MN,34.92443246289007,17.925014008193358,16.99941845469671,18165.733,13.7292,44.796405,-95.179787
10075,Taconite Harbor Energy Center,MN,130.59285420434216,0.0,130.59285420434216,0.0,0.0,47.5314,-90.9114
2079,Hawthorn,MO,4173.230474406682,1406.6911139096376,2766.539360497045,2691083.717,1077.4186080000002,39.1306,-94.4778
6065,Iatan,MO,7953.3761505588,2898.4810633991733,5054.895087159626,5153335.37,2220.0164640000003,39.4472,-94.98
6195,John Twitty Energy Center,MO,3149.6607663213686,1158.8194892070044,1990.8412771143642,2114646.229,887.5677599999999,37.151706,-93.38804
2103,Labadie,MO,23453.441717920035,9409.054589586298,14044.387128333738,16968046.544,7206.6215520000005,38.562244,-90.837686
2167,New Madrid Power Plant,MO,7218.969714969116,2808.414090556785,4410.555624412331,4785414.649,2151.032,36.5147,-89.5617
6155,Rush Island,MO,2053.5871320615533,458.5801722026209,1595.0069598589325,868808.287,351.2376,38.131248,-90.263157
6768,Sikeston,MO,2193.87036160414,810.4069450534996,1383.4634165506402,1615317.416,620.7102,36.8791,-89.6209
2107,Sioux,MO,5266.064273226851,1818.6395003037376,3447.424772923113,3558512.026,1392.9398,38.915479,-90.290247
2168,Thomas Hill Energy Center,MO,9210.61458183475,3539.835416830347,5670.779165004404,6580216.009,2711.2452120000003,39.5522,-92.6381
55076,Red Hills Generation Facility,MS,4511.639369038718,1517.724827789859,2993.9145412488588,3476017.918,1162.462004,33.3761,-89.2183
6076,Colstrip,MT,16472.443993067143,6450.790964521497,10021.653028545647,12086526.431,4940.816184,45.8831,-106.614
10784,Colstrip Energy LP,MT,558.2287057859714,182.5283500776081,375.7003557083633,450746.741,139.80286,45.9752,-106.6547
55749,Hardin Generating Station,MT,905.85286966394,259.5743562719232,646.2785133920169,726825.097,198.814252,45.7578,-107.6
62319,Western Sugar Cooperative - Billings,MT,6.8700089371037345,3.433969557132964,3.4360393799707705,3633.187,2.63016,45.765346,-108.499232
2718,G G Allen,NC,507.18455423142393,48.138117857129835,459.0464363742941,155445.987,36.870144,35.1897,-81.0122
2727,Marshall,NC,9607.940421051428,4113.25938285078,5494.681038200648,5678112.534,3150.44444,35.5975,-80.9658
6250,Mayo,NC,2428.1020653593027,725.5303664867321,1702.5716988725708,1507695.568,555.701184,36.5278,-78.8917
2712,Roxboro,NC,7684.943435678724,2408.9543569606203,5275.989078718104,4540778.609,1845.0761679999998,36.4833,-79.0731
54213,American Crystal Sugar Drayton,ND,46.36472804796528,25.495790399277364,20.868937648687915,26211.978,19.52784,48.593158,-97.17608
54210,American Crystal Sugar Hillsboro,ND,100.19130607736743,54.75419911352808,45.43710696383935,56641.569,41.937560000000005,47.437562,-97.06311
6469,Antelope Valley,ND,8034.236187351876,2941.8496641997262,5092.3865231521495,5940377.656,2253.23352,47.370542,-101.83566
6030,Coal Creek,ND,10408.025795294147,4272.4798094823245,6135.545985811822,7301416.93,3272.3952,47.377743,-101.157058
8222,Coyote,ND,4271.071899716549,1537.1784475945112,2733.893452122037,3234081.518,1177.3619999999999,47.221447,-101.815722
2817,Leland Olds,ND,5536.714875243141,1941.198748035887,3595.516127207254,4172102.431,1486.81088,47.280769,-101.321213
2823,Milton R Young,ND,7297.92040157898,2685.0962820098175,4612.824119569163,5505574.162,2056.57992,47.065854,-101.213093
57046,Archer Daniels Midland Columbus,NE,396.1753728077972,172.28681814686377,223.88855466093344,246330.656,131.95862400000001,41.416442,-97.286328
10862,Archer Daniels Midland Lincoln,NE,15.019714187785366,5.372532430370546,9.64718175741482,5630.956,4.114952000000001,40.866463,-96.614486
6077,Gerald Gentleman Station,NE,11302.333926398469,4576.797257861447,6725.536668537022,7946068.274,3505.4792639999996,41.0808,-101.1408
60,Gerald Whelan Energy Center,NE,1778.489721775246,653.101622051266,1125.3880997239798,1209956.462,500.226264,40.580872,-98.312437
2240,Lon D Wright Power Plant,NE,795.4496955657347,310.9535890647089,484.4961065010258,499415.598,238.166844,41.4281,-96.4623
6096,Nebraska City Station,NE,9338.05984587668,3551.9954574275885,5786.064388449091,6529190.425,2720.5588799999996,40.6214,-95.7764
2291,North Omaha Station,NE,2702.682234960432,935.698876133517,1766.9833588269153,1750734.826,716.674308,41.32909,-95.94466
59,Platte,NE,666.6970316196666,215.72820945094028,450.9688221687263,490344.851,165.23143199999998,40.854765,-98.348222
2277,Sheldon,NE,1278.3817023580582,429.7836264924363,848.5980758656219,909216.152,329.181632,40.5589,-96.7847
