Plant_ID,Plant_Name,Plant_Nameplate_Capacity,Cap_Factor,CO2EQ_2023,State_x,LAT,LON,Annual_MWh,CO2_Intensity,PV Gain (mil$),State_y
1040,Whitewater Valley,93.9,0.01977,27409.618,Indiana,39.8028,-84.8953,16262.09028,1.68549168821857,93.99494424749444,IN
108,Holcomb,348.7,0.51877,1787151.046,Kansas,37.9308,-100.9725,1584641.06724,1.1277954881686334,1565.719561991859,KS
6068,Jeffrey Energy Center,2160.0,0.30922,6760345.849,Kansas,39.286453,-96.117231,5850937.152000001,1.1554295787793825,6596.873492820311,KS
1241,La Cygne,1598.9,0.47189,7395396.147,Kansas,38.3481,-94.6456,6609463.10796,1.1189102694428348,6592.891480052578,KS
1250,Lawrence Energy Center,517.0,0.38242,2016639.563,Kansas,39.0072,-95.269167,1731949.5864,1.1643754407377132,1870.8030174686776,KS
6064,Nearman Creek,365.0,0.2409,991630.791,Kansas,39.1681,-94.6975,770253.66,1.287408087096918,1017.636187807736,KS
6823,D B Wilson,509.4,0.6497,3549228.989,Kentucky,37.4497,-87.0806,2899184.8967999998,1.2242161556917228,3002.476690356244,KY
1355,E W Brown,1457.6,0.07551,1171169.475,Kentucky,37.78831,-84.71257,964155.1737599999,1.2147105641021336,1992.0703578852624,KY
6018,East Bend,772.0,0.32757,2746854.899,Kentucky,38.9036,-84.8514,2215264.1903999997,1.2399671835547585,2621.418117937086,KY
1356,Ghent,2225.9,0.50115,10668009.809,Kentucky,38.7497,-85.035,9771865.716599999,1.091706550047825,9413.894653779764,KY
6041,H L Spurlock,1608.5,0.53207,7343815.451,Kentucky,38.7,-83.8181,7497111.052200001,0.9795527103530077,6429.904803930755,KY
1384,John S. Cooper,344.0,0.15845,534910.556,Kentucky,36.9981,-84.5919,477479.568,1.12027946712057,654.454714731819,KY
1364,Mill Creek,1717.2,0.50128,7950466.389,Kentucky,38.0525,-85.9103,7540590.6201599995,1.054355923758039,7024.372321133974,KY
1379,Shawnee,1575.0,0.34232,6419840.312,Kentucky,37.1517,-88.775,4722989.04,1.359274869712592,6013.234473111898,KY
6071,Trimble County,2594.1,0.32448,7704296.912,Kentucky,38.5847,-85.4117,7373586.05568,1.0448507488517405,7520.378229873181,KY
6055,Big Cajun 2,1902.9,0.13945,2321472.534,Louisiana,30.7261,-91.3692,2324548.3877999997,0.9986767951073238,3122.9908523200575,LA
6190,Brame Energy Center,1707.3,0.27451,4401494.106,Louisiana,31.395,-92.716667,4105557.2854799996,1.0720820098081765,4486.796306901406,LA
10678,AES Warrior Run,229.0,0.32804,571061.934,Maryland,39.595171,-78.745333,658061.3616000001,0.8677943537233808,570.0727672924795,MD
602,Brandon Shores,1370.2,0.08625,1362713.717,Maryland,39.182073,-76.537151,1035254.61,1.3163077989094876,2076.969371020532,MD
6034,Belle River,1664.4,0.41196,6411196.197,Michigan,42.7756,-82.495,6006436.12224,1.0673877265191078,5892.378708509315,MI
1702,Dan E Karn,1946.3,0.03596,794325.928,Michigan,43.644996,-83.840074,613103.1844799999,1.2955827797138308,2101.370830066401,MI
1710,J H Campbell,1560.8,0.4838,7368602.965,Michigan,42.910296,-86.20074,6614807.7504,1.1139557252520933,6539.715809359824,MI
57949,MSC Sebewaing,2.5,0.0079,101.993,Michigan,43.741111,-83.447222,173.01000000000002,0.5895208369458412,2.005459085949887,MI
1733,Monroe,3293.1,0.39778,12559107.624,Michigan,41.8906,-83.3464,11474980.825679999,1.0944774387678122,11609.683061027758,MI
